name,lat,lng,formatted_address,rating,user_ratings_total,latest_reviews,positive_words,negative_words,categories
Bopath Falls,6.8017619000000025,80.3694222,Kuruwita Sri Lanka,4.7,2111.0,"['visited', 'greenery', 'stunning', 'setting', 'getaway', 'belongingsmonkeys', 'experience', 'spots', 'surrounding', 'friends', 'levels', 'rooms', 'Worth', 'found', 'experienceI', 'weekend', 'swimming', 'make', 'dont', 'hoped', 'river', 'monkeys', 'fee', 'liking', 'Sri', 'crashing', 'falls', 'soothing', 'refreshed', 'serene', 'Falls', 'scenery', 'expectations', 'enjoyed', 'time', 'Bo', 'place', 'facilities', 'taking', 'wellmaintained', 'bit', 'Lanka', 'breathtaking', 'rise', 'shared', 'view', 'stories', 'splashing', 'picturesque', 'leaf', 'changing', 'waterfall', 'snatched', 'loved', 'crowds', 'shoes', 'spouse', 'Bopath', 'mind', 'leading', 'plan', 'mustvisit', 'get', 'clean', 'rain', 'area', 'entrance', 'pictures', 'water', 'felt', 'guides', 'day', 'shape', 'made', 'gem', 'dip', 'visit', 'path', 'nature', 'took', 'familyBopath', 'headsup', 'sunglasses']",35,5,waterfalls
Bundala National Park,6.199086299999999,81.21049350000001,bundala  Sri Lanka,4.3,654.0,"['visited', 'wildlife', 'tranquil', 'stunning', 'parks', 'variety', 'safari', 'children', 'elephants', 'getaway', 'landscapes', 'highlight', 'Overall', 'afternoon', 'experience', 'love', 'fun', 'friends', 'action', 'bird', 'kingfishers', 'change', 'sightings', 'park', 'prepared', 'pointing', 'multitude', 'everyone', 'roads', 'greeted', 'excitement', 'photographers', 'Park', 'filled', 'animals', 'including', 'intimate', 'worthwhile', 'return', 'information', 'outweighs', 'Sri', 'knowledgeable', 'going', 'NP', 'expected', 'watchers', 'encountered', 'wellorganized', 'allowing', 'snacks', 'birds', 'photographs', 'compared', 'seeing', 'remember', 'habitat', 'suggest', 'chance', 'downside', 'looking', 'watching', 'inconveniences', 'heat', 'expectations', 'chances', 'Bundala', 'enjoyed', 'time', 'making', 'amazing', 'exceeded', 'place', 'birdlife', 'camera', 'chirping', 'facilities', 'didnt', 'couple', 'mammals', 'feels', 'spotting', 'environment', 'Lanka', 'busier', 'see', 'breathtaking', 'migratory', 'Highly', 'birdwatching', 'spot', 'hidden', 'diversity', 'jeep', 'group', 'sights', 'others', 'helpful', 'explaining', 'spy', 'loved', 'thrilled', 'visitors', 'best', 'avoid', 'beauty', 'morning', 'arrived', 'capture', 'crocodiles', 'memories', 'definite', 'mustvisit', 'get', 'species', 'rest', 'kids', 'guide', 'fortunate', 'family', 'recommend', 'Visiting', 'signage', 'lovers', 'beautiful', 'Yala', 'future', 'booked', 'playing', 'magical', 'water', 'guides', 'day', 'use', 'National', 'appreciated', 'relaxing', 'made', 'lizards', 'behaviors', 'sunrise', 'gem', 'bringing', 'encounters', 'sounds', 'visit', 'hoping', 'nature', 'took', 'missed', 'helped', 'outing', 'identifying', 'laidback', 'photography', 'areas', 'maximize', 'crowded', 'spotted', 'blown', 'left', 'trip']",18,10,"wildlife viewing, bird watching, safaris, national parks, photography"
Colombo,6.927078599999999,79.861243,Colombo Sri Lanka,3.613,1.0,"['pollution', 'parks', 'Temple', 'experience', 'friends', 'Green', 'appreciate', 'aquarium', 'vendors', 'Colombo', 'found', 'Gangaramaya', 'hoped', 'Museum', 'markets', 'charm', 'families', 'expected', 'chaotic', 'dark', 'taste', 'food', 'moments', 'seeing', 'beaches', 'prioritize', 'enjoyed', 'making', 'life', 'didnt', 'pleasant', 'bit', 'feelings', 'sites', 'feel', 'impress', 'polluted', 'match', 'wouldnt', 'vibe', 'overshadowed', 'struggled', 'mind', 'chosen', 'city', 'activities', 'beauty', 'bag', 'find', 'organized', 'rest', 'kids', 'family', 'recommend', 'Traffic', 'destination', 'interesting', 'felt', 'Galle', 'National', 'attractions', 'relaxing', 'overcrowded', 'noise', 'dodging', 'desired', 'explore', 'walk', 'visit', 'images', 'culture', 'streets', 'think', 'Face', 'crowded', 'left', 'street', 'trip', 'vibrant']",31,4,"city tours, cultural experiences, museum visits, temple pilgrimages, sightseeing"
Colombo City Tour,6.8662122000000005,79.88319969999998,Nugegoda Sri Lanka,5.0,45.0,"['fascinating', 'site', 'sharing', 'highlight', 'Overall', 'afternoon', 'experience', 'fun', 'friends', 'capital', 'prepared', 'adventure', 'traffic', 'Colombo', 'context', 'insights', 'Museum', 'visiting', 'start', 'Sri', 'BMICH', 'allowing', 'highlights', 'atmosphere', 'snacks', 'provided', 'location', 'partner', 'Town', 'used', 'enjoyed', 'time', 'penny', 'architecture', 'Square', 'taking', 'bit', 'introduction', 'sites', 'Highly', 'shared', 'stories', 'Petah', 'entertaining', 'group', 'sights', 'Bazaar', 'loved', 'solo', 'stops', 'exploring', 'views', 'city', 'spend', 'included', 'engaging', 'way', 'kids', 'guide', 'halfday', 'recommend', 'Tour', 'times', 'Hall', 'felt', 'critique', 'Galle', 'tour', 'places', 'appreciated', 'Independence', 'Lankas', 'visit', 'took', 'City', 'culture', 'Face', 'pace', 'bustling', 'covered', 'heart', 'trying']",28,3,"city tours, history tours, architecture tours, sightseeing"
Colombo National Museum,6.909999099999999,79.8609032,Colombo  Sri Lanka,4.6,5292.0,"['visited', 'history', 'said', 'cleaning', 'fascinating', 'bring', 'noticed', 'exhibits', 'dusty', 'variety', 'Lankan', 'highlight', 'Overall', 'experience', 'era', 'tools', 'agriculture', 'needed', 'Colombo', 'found', 'diverse', 'activity', 'dedicated', 'make', 'Museum', 'fee', 'spent', 'trove', 'staff', 'mustsee', 'relics', 'Sri', 'Dont', 'buffs', 'weaponry', 'collection', 'provided', 'treasure', 'afterward', 'AC', 'lighting', 'looking', 'enjoyed', 'village', 'making', 'hours', 'enriching', 'situation', 'place', 'benefit', 'part', 'ancient', 'artifacts', 'modernization', 'life', 'warm', 'bit', 'Lanka', 'showcasing', 'gardens', 'sections', 'run', 'sectionits', 'loved', 'deeper', 'wandering', 'exploring', 'array', 'entry', 'displays', 'memories', 'way', 'kids', 'improve', 'go', 'family', 'Visiting', 'plaques', 'lack', 'parts', 'entrance', 'felt', 'everything', 'maintenance', 'use', 'ones', 'National', 'enhancing', 'anyone', 'impressed', 'conditioning', 'displayed', 'visit', 'took', 'culture', 'air', 'helped', 'solid', 'areas', 'section', 'attention', 'left', 'trip']",32,5,"museum visits, history tours"
Dambulla,7.874217000000002,80.6511287,Dambulla Sri Lanka,3.492,1.0,"['Visiting', 'bit', 'lack', 'seemed', 'needs', 'expected', 'area', 'Theres', 'flight', 'stunning', 'times', 'trails', 'felt', 'riding', 'rush', 'use', 'visitor', 'justify', 'idea', 'wellmaintained', 'underwhelming', 'tried', 'experience', 'disappointed', 'high', 'horseback', 'cost', 'ballooning', 'improvement', 'ride', 'scenery', 'adventure', 'organization', 'hoping', 'air', 'horses', 'amenities', 'place', 'Wouldnt', 'activities', 'engage', 'promise', 'frustrating', 'tourists', 'hopes', 'charm', 'engaging', 'attention', 'way', 'views', 'guide', 'safety', 'Dambulla']",28,3,"horseback riding, hot air ballooning"
Dambulla Royal Cave Temple and Golden Temple,7.8549140999999985,80.65056990000002,Dambulla Sri Lanka,4.25,11598.0,"['keep', 'visited', 'Cave', 'history', 'said', 'site', 'stunning', 'artistry', 'bring', 'ambiance', 'Temple', 'Lankan', 'highlight', 'shouldnt', 'Overall', 'tried', 'experience', 'offerings', 'fun', 'friends', 'manageable', 'Buddha', 'vendors', 'adventure', 'devotion', 'reflection', 'found', 'experiences', 'anticipated', 'make', 'opportunities', 'filled', 'monkeys', 'gets', 'worthwhile', 'snatch', 'mustsee', 'take', 'Sri', 'going', 'monkeysone', 'fascinated', 'murals', 'amazed', 'sweaty', 'challenging', 'photo', 'frescoes', 'significance', 'intricate', 'belongings', 'seeing', 'remember', 'youre', 'statues', 'dress', 'demanding', 'hawkers', 'scenery', 'caves', 'size', 'heat', 'remains', 'enjoyed', 'time', 'top', 'architecture', 'sufficed', 'making', 'enriching', 'place', 'Royal', 'Golden', 'tip', 'paintings', 'plenty', 'gives', 'captivated', 'taking', 'Lanka', 'thank', 'bit', 'blend', 'offering', 'breathtaking', 'addition', 'group', 'rewarding', 'loved', 'spirituality', 'solo', 'crowds', 'shoes', 'climb', 'sculptures', 'exploring', 'avoid', 'steps', 'beauty', 'bag', 'morning', 'leading', 'Dambulla', 'Buddhist', 'eye', 'details', 'mustvisit', 'get', 'humidity', 'way', 'kids', 'family', 'recommend', 'Visiting', 'Definitely', 'kept', 'surroundings', 'pictures', 'water', 'day', 'journey', 'heritage', 'anyone', 'appreciated', 'made', 'traveler', 'Lankas', 'visit', 'mesmerizing', 'took', 'missed', 'culture', 'art', 'lot', 'crowded', 'views', 'breaks', 'trip', 'vibrant']",31,5,"historical monuments, architecture tours, history tours, temple pilgrimages, cultural experiences, sightseeing"
Devon Falls,6.9514077000000025,80.63001740000001,Dimbula Sri Lanka,4.7,861.0,"['visited', 'greenery', 'stunning', 'break', 'wonder', 'Eliya', 'experience', 'surrounding', 'friends', 'Nevertheless', 'soaking', 'everyone', 'relaxation', 'found', 'enchanting', 'photos', 'make', 'tea', 'road', 'charm', 'cascading', 'mustsee', 'Sri', 'Dont', 'encountered', 'enjoying', 'added', 'snacks', 'youre', 'Falls', 'scenery', 'rushing', 'escape', 'perfect', 'enjoyed', 'hours', 'Nuwara', 'place', 'tourists', 'camera', 'hiked', 'taking', 'couple', 'bit', 'Lanka', 'days', 'breathtaking', 'forget', 'view', 'spot', 'waterfall', 'mindful', 'sound', 'sunny', 'plan', 'get', 'family', 'viewpoints', 'area', 'wasnt', 'times', 'surroundings', 'pictures', 'water', 'weather', 'journey', 'visibility', 'obscured', 'walk', 'visit', 'took', 'sipping', 'shop', 'crowded', 'Devon', 'trek', 'create', 'views', 'heads']",25,2,waterfalls
Diyaluma Falls,6.7331443,81.0314173,Koslanda Sri Lanka,5.0,3718.0,"['keep', 'visited', 'stunning', 'confusing', 'elephants', 'spectacular', 'highlight', 'basins', 'experience', 'opted', 'found', 'photos', 'ticket', 'swimming', 'cascading', 'mustsee', 'Sri', 'slippery', 'going', 'challenging', 'camping', 'provided', 'Diyaluma', 'location', 'soothing', 'remember', 'youre', 'Falls', 'pools', 'scenery', 'perfect', 'enjoyed', 'top', 'hours', 'place', 'bathing', 'bit', 'Lanka', 'breathtaking', 'system', 'Highly', 'view', 'picturesque', 'spot', 'waterfall', 'step', 'refreshing', 'loved', 'crowds', 'recommended', 'climb', 'instructions', 'delight', 'sound', 'showcases', 'beauty', 'morning', 'eye', 'recommend', 'Visiting', 'Definitely', 'hike', 'water', 'felt', 'edges', 'dip', 'clearer', 'took', 'sight', 'photography', 'rocks', 'trek', 'views', 'breaks', 'heads', 'trip', 'watch']",22,8,"waterfalls, hiking"
Dunhinda Waterfall,7.0175417,81.0635655,Dunhida Water Falls Access Road Sri Lanka,4.6,626.0,"['stunning', 'bring', 'highlight', 'experience', 'spots', 'fruit', 'fun', 'cash', 'vendors', 'monkeys', 'fee', 'wellmarked', 'worthwhile', 'miniadventure', 'slippery', 'encountered', 'snacks', 'falls', 'compared', 'serene', 'selling', 'jungle', 'Dunhinda', 'rushing', 'paths', 'enjoyed', 'making', 'tourists', 'camera', 'fruits', 'tip', 'bonding', 'feels', 'spotting', 'bit', 'see', 'offering', 'breathtaking', 'feel', 'view', 'invigorating', 'waterfall', 'seems', 'refreshing', 'loved', 'enjoy', 'shoes', 'element', 'sound', 'purchases', 'km', 'get', 'way', 'kids', 'family', 'recommend', 'Visiting', 'Definitely', 'rain', 'parts', 'locals', 'entrance', 'surroundings', 'water', 'felt', 'appreciated', 'made', 'reasonable', 'bringing', 'path', 'nature', 'mesmerizing', 'minutes', 'took', 'sight', 'areas', 'wear', 'Waterfall', 'trek', 'create', 'stalls', 'trip']",30,4,waterfalls
Dutch Museum,6.935962299999999,79.85163899999998,Colombo  Sri Lanka,3.7,464.0,"['visited', 'history', 'fascinating', 'stunning', 'exhibits', 'afternoon', 'experience', 'price', 'friends', 'Dutch', 'soaking', 'miss', 'handinhand', 'Colombo', 'found', 'potential', 'ticket', 'hoped', 'Museum', 'staff', 'colonial', 'information', 'Sri', 'Dont', 'buffs', 'regarding', 'collection', 'treasure', 'youre', 'value', 'serene', 'feeling', 'holds', 'escape', 'learning', 'perfect', 'brought', 'enjoyed', 'time', 'architecture', 'sparse', 'place', 'artifacts', 'couple', 'building', 'lives', 'bit', 'Lanka', 'Highly', 'stories', 'spot', 'hidden', 'rupees', 'loved', 'visitors', 'exploring', 'quaint', 'city', 'displays', 'engaging', 'period', 'kids', 'recommend', 'Definitely', 'beautiful', 'area', 'parts', 'felt', 'use', 'made', 'depth', 'curiosity', 'visit', 'Lankans', 'appealing', 'influence', 'lot', 'crowded', 'learned', 'stroll', 'bustling', 'left', 'enriched']",26,3,"history tours, museum visits, architecture tours"
Elephant Transit Home,6.4266887000000015,80.81653589999998,Udawalawa Sri Lanka,4.6,1849.0,"['visits', 'visited', 'wildlife', 'seemed', 'compassionate', 'heartwarming', 'cause', 'children', 'elephants', 'highlight', 'Overall', 'experience', 'efforts', 'love', 'friends', 'treatment', 'baby', 'Watching', 'appreciate', 'opportunity', 'found', 'experiences', 'make', 'opportunities', 'creatures', 'animals', 'fee', 'rescue', 'worthwhile', 'staff', 'mustsee', 'information', 'improvement', 'Sri', 'animal', 'supports', 'expected', 'wellorganized', 'provided', 'moments', 'enhanced', 'photographs', 'rehabilitating', 'Home', 'youre', 'job', 'feeling', 'Seeing', 'mission', 'looking', 'learning', 'wild', 'watching', 'time', 'enjoyed', 'organization', 'returning', 'makes', 'place', 'viewing', 'engage', 'orphaned', 'touching', 'taking', 'facility', 'feeding', 'offers', 'lives', 'fed', 'bit', 'Lanka', 'emotions', 'see', 'methods', 'feel', 'view', 'stories', 'theres', 'support', 'hope', 'shown', 'loved', 'learn', 'Transit', 'thrilled', 'glimpse', 'commitment', 'enchanted', 'trip', 'rehabilitation', 'Elephant', 'eyeopening', 'showcases', 'space', 'organized', 'mustvisit', 'get', 'initiative', 'kids', 'respect', 'family', 'Visiting', 'lack', 'lovers', 'future', 'area', 'talks', 'times', 'entrance', 'felt', 'practices', 'handling', 'giants', 'ones', 'room', 'sense', 'appreciated', 'anyone', 'stop', 'cared', 'made', 'traveling', 'deserves', 'care', 'conservation', 'visit', 'photography', 'lot', 'crowded', 'learned', 'believe', 'cares', 'observing', 'left', 'process']",24,9,"wildlife viewing, animal encounters"
Galle,6.0328947999999984,80.2167912,Galle Sri Lanka,3.210999999999998,1.0,"['bit', 'Lanka', 'seemed', 'visited', 'expected', 'stunning', 'family', 'interesting', 'felt', 'guides', 'day', 'getaway', 'classes', 'highlight', 'Galles', 'Overall', 'class', 'tried', 'Galle', 'experience', 'lacked', 'relaxing', 'stop', 'beach', 'beaches', 'put', 'beachfront', 'walks', 'friends', 'seem', 'prioritize', 'meals', 'feeling', 'service', 'sand', 'scenery', 'tours', 'wouldnt', 'litter', 'reality', 'enjoyed', 'visit', 'excited', 'hoping', 'heard', 'architecture', 'took', 'offered', 'couldnt', 'found', 'potential', 'hype', 'dining', 'commercialized', 'place', 'city', 'activities', 'areas', 'littered', 'relax', 'overpriced', 'find', 'charm', 'vibes', 'get', 'left', 'instructor', 'couple', 'kids', 'okay', 'didnt', 'spirits', 'Sri', 'recommend']",28,6,"beachfront dining, architecture tours, historic walks, sightseeing"
Galle Dutch Fort,6.030459199999999,80.21502070000003,Galle  Sri Lanka,4.6,16934.0,"['wandered', 'history', 'fascinating', 'site', 'stunning', 'ambiance', 'captivates', 'highlight', 'Overall', 'afternoon', 'experience', 'fun', 'sun', 'UNESCO', 'Dutch', 'dive', 'appreciate', 'handinhand', 'found', 'make', 'insights', 'visiting', 'Sri', 'families', 'going', 'past', 'Nonetheless', 'atmosphere', 'significance', 'food', 'provided', 'museums', 'styles', 'sunset', 'centuries', 'belongings', 'outI', 'look', 'rampartsbreathtaking', 'choice', 'ramparts', 'charming', 'enjoyed', 'time', 'imagination', 'eateries', 'architecture', 'place', 'budget', 'couple', 'bit', 'Lanka', 'stepping', 'blend', 'buildings', 'strolling', 'Highly', 'view', 'spot', 'bucket', 'running', 'protection', 'cultures', 'loved', 'enjoy', 'disappoint', 'Ocean', 'exploring', 'evening', 'prices', 'cafes', 'forts', 'wellpreserved', 'memories', 'get', 'evolution', 'kids', 'family', 'recommend', 'Visiting', 'signage', 'beautiful', 'area', 'times', 'shops', 'overwhelming', 'water', 'offer', 'felt', 'day', 'pricey', 'Fort', 'Galle', 'tour', 'anyone', 'appreciated', 'made', 'tours', 'Lankas', 'walk', 'took', 'culture', 'streets', 'offered', 'photography', 'list', 'fort', 'areas', 'lot', 'crowded', 'learned', 'left', 'views', 'cobblestone', 'trip', 'vibrant']",19,9,"historical monuments, architecture tours, history tours, sightseeing"
